, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14
Document92, 0.0, 0.023585406878340622, 0.0, 0.0, 0.0, 0.0, 0.4280754319209067, 0.0, 0.007040269319975098, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Document93, 0.021041431106698413, 0.027684565190831668, 0.0, 0.0, 0.005954006950521134, 0.0, 0.5082467297956389, 0.0, 0.021588348375280442, 0.010027408074584332, 0.0, 0.0, 0.0, 0.00957152044278722, 0.0
Document31, 0.0027933175664234676, 0.058649961529662925, 0.0, 0.03860900300063834, 0.005899870915256301, 0.0, 0.04145733625926357, 0.0, 0.07665749513859724, 0.016561470578634056, 0.008030134582576802, 0.020500029100278143, 0.01160892889235595, 0.26931635058317216, 0.0
Document9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.47502277399715337, 0.0, 0.8860697925026269, 0.006367359867770797, 0.0, 0.0, 0.017460819109028677, 0.0, 0.0, 0.3988145756347654
Document8, 0.012498678061044056, 0.009153650622760077, 0.0, 0.0, 0.0038138212146375974, 0.0026129529306663677, 0.04020325513768478, 0.0, 0.01114387006891153, 0.27557019548239947, 0.0, 0.003339087958633139, 0.013103658545616157, 0.01522089792107652, 0.0
Document7, 0.016144950136783694, 0.0, 0.0, 0.0, 0.009798432128763, 0.0027121282148079087, 0.0036785173989002775, 0.0, 0.001610844106665509, 0.3496117206686131, 0.01184368609470901, 0.006299082617569539, 0.006088210972343702, 0.0036445096244357876, 0.0
Document6, 0.02411914033968512, 0.03804568082304889, 0.0, 0.0, 0.010829037194590711, 0.001765962292435984, 0.025204922570181098, 0.0, 0.03353604828217708, 0.5985696000162196, 0.0, 0.027075856610898064, 0.013891394759180185, 0.008389839865587993, 0.0
Document5, 0.007580731343589429, 0.011659055497318764, 0.0, 0.0, 0.0033176674984830173, 0.0, 0.008141516751951084, 0.0, 0.05660272568026014, 0.33583918029482973, 0.0, 0.0, 0.0, 0.0, 0.0
Document4, 0.0068960555378608235, 0.0, 0.0, 0.0, 0.003638604909994827, 0.0, 0.0, 0.0, 0.004287570865160309, 0.19688666047304865, 0.0, 0.0, 0.0, 0.0, 0.0
Document90, 0.011244246341872405, 0.03202047047713536, 0.0, 0.0, 0.008872725894522109, 0.0, 0.5830176379992053, 0.0, 0.029626081019942175, 0.014942952538964908, 0.0, 0.0, 0.0, 0.012837225449948314, 0.0
Document3, 0.15833200118839, 0.013233539086877796, 0.0, 0.0, 0.04759038084327215, 0.0, 0.007662075996458622, 0.0, 0.028016905898372576, 0.0774762563472798, 0.0, 0.0, 0.0, 0.0, 0.0
Document91, 0.0021479116833405857, 0.04916871157349531, 0.0, 0.03338242099540043, 0.0048006609301757, 0.0, 0.5153016936634063, 0.0, 0.030323444014911917, 0.0, 0.0, 0.006146930023157664, 0.0, 0.0, 0.0
Document2, 0.009738015147118178, 0.024207207345183272, 0.0, 0.0, 0.012438900934488142, 0.0024652580180861477, 0.013983933163670172, 0.0, 0.02339580004233552, 0.5920496151518012, 0.004938342374662521, 0.0028031098126274187, 0.017801880197391755, 0.002974471685474012, 0.0
Document47, 0.017315232027341147, 0.05260047434145725, 0.14397766111124063, 0.0, 0.023817664717700377, 0.0, 0.02155262092887337, 0.0, 0.05054543428642808, 0.006485288420717603, 0.6667709719553353, 0.0, 0.006961149687419545, 0.0, 0.0
Document1, 0.007268322242385349, 0.006829939607419049, 0.0, 0.0, 0.0104113644962364, 0.013899429191226382, 0.009410371313194136, 0.0, 0.0039820459886271975, 0.5180791291842283, 0.0, 0.0, 0.0, 0.0015484776574388487, 0.0
Document48, 0.005515989968976908, 0.030244675099121075, 0.0, 0.0, 0.021356854148649653, 0.0, 0.012383018826016567, 0.0, 0.010582249124783435, 0.0, 0.4372329270935487, 0.0, 0.0, 0.0, 0.0
Document45, 0.0, 0.06797534742875977, 0.05238306375961314, 0.0, 0.0, 0.0, 0.033138653020905885, 0.0, 0.235466250203274, 0.0, 0.6040118030403384, 0.0, 0.0, 0.0, 0.0
Document46, 0.006456824342790511, 0.0808077197989466, 0.05194252421739914, 0.0, 0.004050435305206409, 0.0, 0.03493082821338166, 0.0, 0.06757361102967234, 0.0, 0.4603526458829986, 0.0, 0.01312263624429109, 0.012963176687462705, 0.0
Document43, 8.664402358834383E-4, 0.41126167276218767, 0.0, 0.0, 0.026966927589895374, 0.004967656840291524, 0.11592984428253653, 0.0, 0.10530122920548314, 0.0014341858694486447, 0.06968024363773447, 0.0, 0.004232690665784168, 0.003917764991793669, 0.0
Document44, 0.006325321354591923, 0.2839773335081789, 0.0, 0.0, 0.022572665012035902, 0.0, 0.07941126670419639, 0.0, 0.04510954269398127, 0.0038163801790132997, 0.02070466593074728, 0.0, 0.0054372998660814145, 0.01390794888376244, 0.0
Document60, 0.021232140064507, 0.012071457804222708, 0.0, 0.0, 0.012305828500104423, 0.44069718284171344, 0.005863542909611429, 0.0744700482755741, 0.02833811466771852, 0.015203369067583046, 0.0, 0.02405083575348286, 0.0, 0.0, 0.17852981785001562
Document41, 0.007588572699746827, 0.26359597448945093, 0.0, 0.0, 0.012729113193848377, 0.0, 0.07877023464760245, 0.0, 0.012390404635162961, 0.0, 0.007243107113246653, 0.0, 0.005194148749388359, 0.0, 0.0
Document58, 0.015243154234372303, 0.012570021916207541, 0.0, 0.0, 0.029833578359802063, 0.573013809936288, 0.0014968301559565524, 0.1538831141199342, 0.019280762092544295, 0.005110224570390269, 0.0, 0.05353801239239412, 0.0, 0.0, 0.2333297022425312
Document42, 0.011299452932007232, 0.2549799087923854, 0.0, 0.0, 0.018675870112489543, 0.0, 0.04168047442848803, 0.0, 0.0017565546108010731, 0.013902387867966496, 0.0, 0.0, 0.0, 0.0, 0.0
Document59, 0.06261327614285739, 0.0, 0.0, 0.0, 0.01597768726951751, 0.26327191329579985, 0.0, 0.13197916864507378, 0.011843621822318599, 0.0, 0.0, 0.02274235266615624, 0.0, 0.0, 0.5574090739177539
Document56, 0.5231200853361758, 0.00677118360384545, 0.0, 0.0, 0.014473505864566213, 0.0036420255500217544, 0.004939757007005387, 0.0, 0.006493028578271814, 0.006324181352966738, 0.0, 0.004654138050627077, 0.0, 0.03926967694971216, 0.014027036117930217
