C5, Document92, 6, 0.4658429649196276, 0.1632615694353932
C5, Document93, 6, 2.4170904946609237, 0.34563170737889726
C11, Document31, 13, 5.816492791031944, 2.571886003621598
C10, Document9, 7, 0.1289312808722629, 0.06594222956305812
C1, Document8, 9, 0.4857732824147483, 0.0704664242081614
C1, Document7, 9, 0.1363262761290188, -0.35046071131732076
C1, Document6, 9, 4.9703172016607375, 0.7645100660011885
C1, Document5, 9, 2.129032228853879, 0.9443422440937959
C1, Document4, 9, 0.12625622490696106, -0.0017415415036426025
C5, Document90, 6, 1.8901384090412132, 0.22249137106086392
C1, Document3, 0, 1.8726134510353105, -1.6326938319913538
C5, Document91, 6, 1.5563729688374284, 0.41131690268126836
C1, Document2, 9, 3.771677944709345, -0.14892873795545722
C13, Document47, 10, 2.969704817747494, -0.2737030109459857
C1, Document1, 9, 0.7026847844420346, -0.685228568521145
C13, Document48, 10, 0.34337460814746673, -0.32380252964714457
C13, Document45, 10, 7.623426218092984, 3.9075413879435383
C13, Document46, 10, 2.399036396683644, 1.0411416078420208
C12, Document43, 1, 9.593959554599476, 0.9422677708280318
C12, Document44, 1, 4.113565427299331, 0.07314852293755734
C15, Document60, 5, 1.3866768466563564, 0.09610770842032063
C12, Document41, 1, 1.3879989362431215, -0.3541750628139181
C15, Document58, 5, 1.8832023690222501, -0.9471354539184129
C12, Document42, 1, 0.7524751851642707, -1.0952327176122933
C15, Document59, 14, 0.9325497532449617, -0.5012173657379053
C14, Document56, 0, 0.36968661422499166, -0.3343574217941123
C15, Document57, 5, 0.22019367133404188, -0.15315455944250614
C14, Document54, 0, 0.7731197308181159, -2.1602021271760155
C14, Document55, 0, 4.256394923906739, -2.4280163400063874
C14, Document52, 0, 6.091853842483671, -10.058712153598641
C14, Document53, 0, 0.04983386127027409, -0.11566404600851235
C13, Document50, 10, 3.4964160964675397, 1.5564666225130714
C11, Document29, 11, 0.24897199745095816, 0.01668885702267379
C11, Document27, 11, 0.03312999136523679, -0.09472531037655725
C2, Document69, 0, 0.4659795541660801, -0.13717990441459693
C11, Document28, 11, 9.619378130236088E-4, -0.0015696294939260746
C2, Document67, 0, 0.002125862316619572, -0.0017173465833637742
C2, Document68, 0, 0.002125862316619572, -0.0017173465833637742
C2, Document65, 12, 0.7932868706104399, 0.1203679804091186
C2, Document66, 0, 0.09512186192191092, 0.030399097372629937
C2, Document63, 0, 0.5332588963740806, -0.17939903798340823
C2, Document64, 0, 1.5607157491785497, -1.471952781884991
C15, Document61, 11, 1.2090047755781352, -1.5929776705771603
C15, Document62, 5, 0.16641680559276523, -0.11556077249577736
C13, Document51, 10, 0.61464276165078, 0.23104815688155741
C13, Document49, 2, 2.152275850379164, 1.0912552392042105
C7, Document106, 13, 0.07885462358081209, -0.12028747441003731
C7, Document107, 13, 1.096989190017063, -0.3806384142451042
C5, Document89, 6, 1.1909798662946094, 0.4375684159670618
C7, Document108, 13, 0.4452560973734532, 0.05507541760791046
C8, Document109, 4, 1.7454334138823295, -3.7350244318456562
C5, Document87, 6, 3.2117675540219937, 0.5546905808627627
C7, Document102, 13, 0.41553845155290386, -0.532429899983664
C5, Document88, 6, 2.132876166921529, 1.0482549908665713
C7, Document103, 13, 0.5953151175102286, -0.6285256616989737
C5, Document85, 6, 1.0774207255038335, 0.39448854760454477
C7, Document104, 13, 0.2414166221339749, 0.058284074920318306
C5, Document86, 6, 2.04721793904647, 0.6864887045935704
C7, Document105, 8, 20.02113848007506, 4.737935529701578
C5, Document83, 6, 0.11906710461245752, 0.020614322417462277
C5, Document84, 6, 2.0953352413374384, 0.7169741655387886
C4, Document81, 12, 1.1051308206631403, 0.5514336713759915
C6, Document100, 6, 5.719458250434691, 1.5236417911796143
C4, Document82, 12, 1.752493326175006, 0.3205020037692416
C7, Document101, 13, 0.6556056111648735, -0.3371319256336397
C4, Document80, 12, 2.28491730109401, 0.9338261165190898
C8, Document117, 4, 172.1690434434732, -363.55268838416555
