, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14
Document92, 39.43344491959997, 52.907600826543224, 45.45917010818568, 123.70059389573854, 46.017346082934395, 56.00429667382034, 226.24668854874454, 53.77627584183776, 43.43522165973129, 40.786628795751504, 58.90535272332461, 217.8857151696426, 34.16545199478197, 46.19683050925239, 75.47248283845967
Document93, 84.88639863153642, 91.24971569510669, 87.84782434033269, 144.30356610780436, 87.66937840902261, 93.73998794716302, 236.94426199864168, 92.42614315128824, 86.8177549527456, 85.52340722239389, 95.50154278263923, 226.6502449102638, 69.75347664905561, 88.23180403633134, 106.19475724084569
Document31, 78.55137424651855, 84.05045107375364, 81.49438700976526, 140.7567293699623, 81.47211344204563, 87.50931067221156, 235.94395976723015, 86.42809292647803, 80.71954480826534, 78.98995442414932, 89.9937054070053, 221.0328411739423, 81.35675172708491, 82.23851641733428, 101.36599353165705
Document9, 18.716911896499365, 45.26111018556067, 35.468134228050104, 120.38807801793517, 36.18077582377932, 48.248664692645136, 224.4527043231305, 45.643622140573434, 32.833989695497074, 29.240408465280414, 51.58772119558397, 218.50778251401456, 36.076616891873634, 36.40878393732218, 69.91100102627344
Document8, 42.34568995466865, 55.58962169597022, 36.67738505583119, 124.50245170507884, 48.5593512257754, 57.58100459701328, 226.53502361099467, 55.871063145086524, 46.119767254200745, 43.5714408653715, 60.911862805293865, 219.83641033454185, 47.78116629174879, 48.55739679623537, 75.31333223828739
Document7, 44.99953947181499, 57.608154082000986, 48.852564978924924, 125.0263738043383, 50.8927459589216, 60.074592771420875, 227.1087771066588, 57.893329318867444, 48.317709631342794, 46.06836751172841, 62.787865309963024, 221.43258957984585, 46.75666357700866, 50.76346388840626, 77.184395029729
Document6, 144.29661355700034, 148.1976302370692, 141.94129622454938, 184.71715438974817, 146.25233733145035, 149.300435188701, 263.41007084191745, 148.60903162649186, 145.12338559201868, 144.5737033459615, 149.72219230982196, 254.74842678870743, 145.53366449906784, 145.65663006394158, 104.29425170466745
Document5, 42.85269237455497, 55.7231312961548, 35.59089491160187, 124.71229734727557, 48.36906178839949, 58.46227767928993, 226.72033597270803, 56.33155872988553, 46.56152001547105, 44.10108563338942, 61.247018253792604, 219.18321629188353, 48.16538478246566, 48.75055326920333, 74.9703453765884
Document4, 31.071673737968773, 47.61898809495117, 31.82375379720714, 121.2046270158306, 39.09026056664512, 50.4671534424217, 224.94002847408967, 47.98270703148247, 36.01486930812944, 32.771960868615714, 53.66836041944023, 219.02762037580067, 38.78801066845363, 39.003423662689904, 70.5656851399002
Document90, 49.557385749661734, 60.55127559539874, 54.474526625190755, 126.86708257067235, 54.94118714252734, 63.02435058695165, 228.03872558171065, 61.585921666652645, 52.7973141811555, 50.47919766450427, 65.36629795903255, 217.3250012391488, 35.898932344836645, 55.09160601411294, 80.86494393500529
Document3, 46.136892513151196, 57.9414600096551, 49.10697181181538, 123.89889260787025, 51.8768967177057, 60.9105698419595, 227.51083568000792, 58.86853247670073, 49.60075355448685, 47.29868244534271, 63.17714682485201, 220.742350672756, 51.64952771814438, 43.432868106169295, 78.37525030999788
Document91, 52.77175597677308, 62.18156156895256, 57.41426475685225, 128.36066264173544, 57.85721900646039, 65.7063932142245, 228.13083833555632, 64.20085275183177, 55.825443404194765, 53.39253670570411, 68.01604993732222, 219.4182329972339, 39.41239987377766, 58.00007585982588, 83.22233664375538
Document2, 141.32739531053238, 145.4439168716624, 140.47574254861757, 182.46168168022513, 143.33085283498838, 146.38740638064607, 262.66023227384824, 146.00693503154565, 142.26870496658393, 141.67915803711895, 147.97289553613467, 255.2506981185269, 134.0737819775602, 143.25291275370586, 152.40666883005832
Document47, 51.49922726485772, 55.83693327426556, 56.24686638005097, 127.01320575713855, 56.69894153480206, 64.11832701567897, 228.3607499395069, 63.159018944785444, 54.62410009583992, 52.54258196142221, 67.5796893312601, 219.78134406341712, 56.410413189070574, 55.870211627975245, 82.42129273708302
Document1, 107.69214511984693, 113.5957876357272, 83.04145885573035, 158.4985137636351, 110.42257890034062, 114.9435993712337, 247.1708855623594, 113.81391716866908, 109.37169776096273, 108.34712215378782, 116.38466552748551, 241.35328693666878, 109.79087621044705, 110.03903750991498, 120.55869222280872
Document48, 23.9690310407386, 40.84380211133482, 32.95533367650414, 119.30201210466757, 33.16048051851937, 46.43273755373518, 224.06936861177027, 43.71962619033007, 30.1020987878712, 26.135549723072437, 49.89347101840131, 217.94256437229294, 33.60934034571001, 33.96564470027557, 68.67032500728648
Document45, 48.540976011204556, 53.33693982323883, 53.55152584957947, 126.79055778982064, 54.026159537855115, 62.75118341372134, 220.52489645418464, 60.77102613343499, 51.84446213939546, 49.64653927934596, 65.35342648516986, 214.68281735242712, 53.69004649854476, 54.179118883512714, 80.60598885749621
Document46, 38.39427686999914, 46.86892477349135, 44.56074578671222, 123.18442172147859, 44.64474366114063, 54.782869998538054, 226.06788360449534, 52.88674794342456, 42.49402780124542, 39.78282301025726, 58.214813386304975, 217.35902838401393, 44.88753145829425, 45.313034187125695, 74.93476885895237
Document43, 107.78782257536128, 95.04289440732421, 110.18860958022344, 157.10359100281605, 109.26899544506016, 112.24403304671883, 237.62583563379752, 113.7184750479808, 109.36915476919411, 108.3445551138606, 112.98421755029113, 227.5396301693715, 108.6851573971968, 110.49498035385389, 125.5829972571906
